;genero;idoso;parceiro;dependentes;tempoDeServico;ServicoTelefone;MultiLinhas;ServicoInternet;ServicoSegurancaCyber;ServicoBackup;SeguroDispositivos;ServicoSuporteTecnico;StreamingTV;StreamingFilmes;Contrato;BillingDigital;MetodoPagamento;FaturaMensal;FaturaTotal;NumTickets;NumTicketsTecnico;Churn
715;Masculino;0.0;Não;Não;46.0;Sim;Sim;Fibra óptica;Sim;Não;Não;Não;Sim;Não;Mensal;Sim;;89.15;4245.55;0.0;0.0;0
6830;Masculino;0.0;Não;Não;35.0;Sim;Não;Não;Sem serviço de internet;Sem serviço de internet;Sem serviço de internet;Sem serviço de internet;Sem serviço de internet;Sem serviço de internet;2 Anos;Sim;Cheque por Carta;20.2;684.4;0.0;0.0;0
6331;Masculino;;Sim;Sim;47.0;Não;Sem serviço de telefone;DSL;Sim;Não;Sim;Sim;Não;Não;1 Ano;Não;Cheque Eletrônico;40.3;1794.8;0.0;0.0;0
4167;Feminino;0.0;Sim;Não;50.0;;Sim;DSL;Não;Não;Sim;Não;Sim;Sim;1 Ano;Não;Transferência Bancária (Automática);;;0.0;0.0;0
5879;Masculino;;Sim;Não;33.0;Sim;;DSL;Sim;Sim;;Sim;Não;Não;2 Anos;Sim;Cheque por Carta;61.05;2018.4;0.0;0.0;0
5448;Feminino;0.0;Sim;Sim;41.0;Sim;Sim;Fibra óptica;Sim;Sim;Sim;Não;Não;Sim;1 Ano;Sim;;101.6;3930.55;0.0;0.0;0
841;Feminino;;Sim;Não;72.0;Sim;;Fibra óptica;Sim;Não;Sim;Não;Sim;Sim;;;Cartão de Crédito (Automático);105.0;7589.8;;0.0;0
3356;Feminino;0.0;Sim;Sim;4.0;Sim;Sim;DSL;Não;Não;Não;Não;Não;Não;Mensal;Não;Cheque por Carta;50.85;239.55;0.0;0.0;1
1855;Masculino;0.0;Sim;Sim;;Sim;Não;Não;Sem serviço de internet;Sem serviço de internet;Sem serviço de internet;Sem serviço de internet;Sem serviço de internet;Sem serviço de internet;2 Anos;Sim;Cheque por Carta;20.1;936.85;2.0;0.0;0
2142;Feminino;0.0;Não;Sim;21.0;Sim;Não;DSL;Sim;Não;Sim;Não;Não;Sim;;Não;Cheque por Carta;64.85;1336.8;0.0;0.0;0
6873;Feminino;0.0;Sim;Sim;68.0;Sim;Sim;DSL;Sim;Sim;Sim;Sim;Sim;Sim;2 Anos;Sim;Transferência Bancária (Automática);89.05;6185.8;2.0;0.0;0
6025;Feminino;;Não;Sim;41.0;Sim;Não;DSL;Não;Não;Não;Não;Não;Não;Mensal;Não;Transferência Bancária (Automática);45.2;1841.9;0.0;;0
5083;;0.0;Sim;Sim;40.0;Sim;Não;DSL;Sim;Sim;Não;Sim;Não;Sim;Mensal;Sim;Cheque por Carta;71.35;2847.2;2.0;0.0;0
4292;Feminino;;Não;Não;31.0;Sim;Sim;Fibra óptica;Não;Não;Não;Não;Não;Não;Mensal;Sim;Cheque Eletrônico;73.9;2217.15;0.0;;1
2986;Feminino;0.0;Sim;Sim;55.0;Sim;Não;Fibra óptica;Não;Não;;Não;Não;Não;2 Anos;Sim;Cartão de Crédito (Automático);69.05;3842.6;0.0;;0
2075;Masculino;1.0;Não;Não;56.0;Sim;Sim;Fibra óptica;Não;Não;Sim;Não;Sim;Sim;Mensal;Sim;Cheque Eletrônico;101.05;5594;0.0;0.0;0
7029;Feminino;1.0;Não;Não;6.0;Não;Sem serviço de telefone;DSL;Não;Não;Não;Não;Sim;Sim;Mensal;Sim;Cheque Eletrônico;44.4;263.05;0.0;0.0;0
6791;Masculino;0.0;Não;Não;19.0;Não;Sem serviço de telefone;DSL;Não;Não;Sim;Não;Sim;Não;Mensal;Sim;Cheque Eletrônico;39.65;733.35;0.0;2.0;1
3177;Masculino;0.0;Sim;Sim;72.0;Não;Sem serviço de telefone;DSL;Sim;Não;Sim;Sim;Sim;Não;2 Anos;Não;Cheque por Carta;48.9;3527;0.0;0.0;0
999;Masculino;0.0;Não;Não;2.0;Sim;Não;DSL;Não;Não;Não;Sim;Sim;Sim;Mensal;Não;Cheque Eletrônico;70.3;132.4;3.0;0.0;0
5418;Masculino;1.0;Não;Não;18.0;Sim;Sim;Fibra óptica;Não;Sim;Não;Não;Não;Não;Mensal;Sim;Cartão de Crédito (Automático);80.55;1411.65;1.0;0.0;0
1755;Feminino;0.0;Não;Não;12.0;Sim;;;Não;Sim;Não;Sim;Não;Não;Mensal;Sim;Cheque Eletrônico;;654.5;;1.0;0
5940;Masculino;0.0;Sim;Sim;56.0;Sim;Não;Fibra óptica;Não;Sim;Sim;Sim;Não;Não;1 Ano;;Cheque por Carta;85.85;4793.8;0.0;0.0;0
4465;Masculino;0.0;Não;Não;31.0;Não;Sem serviço de telefone;;Não;Não;Sim;Não;;Sim;1 Ano;Sim;Cheque Eletrônico;;1523.4;5.0;0.0;0
2820;Masculino;0.0;Não;Não;53.0;Sim;Sim;Não;Sem serviço de internet;Sem serviço de internet;Sem serviço de internet;Sem serviço de internet;Sem serviço de internet;Sem serviço de internet;;Não;Transferência Bancária (Automática);24.05;1301.9;0.0;0.0;0
4934;Feminino;0.0;Sim;Não;72.0;Sim;Sim;Fibra óptica;Sim;Sim;Sim;Não;Sim;Sim;2 Anos;Sim;Cheque Eletrônico;110.75;;0.0;0.0;0
1773;Feminino;0.0;Sim;Sim;68.0;Sim;Não;Não;Sem serviço de internet;Sem serviço de internet;Sem serviço de internet;Sem serviço de internet;Sem serviço de internet;Sem serviço de internet;2 Anos;;Transferência Bancária (Automática);19.35;1292.65;1.0;0.0;0
2113;Masculino;0.0;Sim;;45.0;;Sim;Fibra óptica;Não;Sim;Sim;Não;Não;Sim;1 Ano;Sim;Cartão de Crédito (Automático);95.0;4368.85;0.0;0.0;
2400;Feminino;0.0;Não;Sim;94.0;Sim;Não;Fibra óptica;Sim;Não;Sim;Sim;Não;Sim;Mensal;Não;Transferência Bancária (Automática);93.0;870.25;0.0;0.0;0
4897;Masculino;0.0;Sim;Sim;15.0;Não;Sem serviço de telefone;DSL;Sim;Não;;Não;Não;Não;Mensal;Sim;Transferência Bancária (Automática);30.2;469.65;0.0;0.0;0
3396;Feminino;0.0;Sim;Sim;58.0;Sim;Não;Fibra óptica;Sim;Sim;Não;Não;Sim;Sim;1 Ano;Não;Cartão de Crédito (Automático);99.25;5846.65;0.0;0.0;0
4296;Feminino;0.0;Sim;Sim;35.0;Sim;Sim;DSL;;Não;Sim;Sim;Sim;Não;Mensal;Não;Cheque Eletrônico;72.25;2568.55;0.0;3.0;1
6413;Feminino;0.0;Sim;Sim;32.0;Sim;;Fibra óptica;Não;Não;Sim;Não;Não;Sim;Mensal;Sim;Transferência Bancária (Automática);91.05;2954.5;0.0;3.0;1
2226;Feminino;0.0;Sim;Sim;23.0;Não;Sem serviço de telefone;DSL;Sim;Não;Não;;Não;Não;;Não;Cheque por Carta;;813.45;0.0;1.0;0
2529;Masculino;1.0;Não;Não;45.0;Sim;Não;DSL;Sim;Não;Sim;Não;Não;Sim;1 Ano;;Cartão de Crédito (Automático);62.7;2791.5;;5.0;1
5043;Masculino;1.0;Não;Não;19.0;Sim;Sim;Fibra óptica;Sim;Não;Não;Não;Sim;;Mensal;;Cheque Eletrônico;90.6;1660;5.0;2.0;
2366;Feminino;1.0;Não;Não;1.0;Sim;Não;Fibra óptica;Não;Não;Não;Não;Não;Não;Mensal;Sim;Cheque Eletrônico;70.15;70.15;5.0;0.0;1
6023;Feminino;1.0;Não;Não;51.0;Sim;Não;Não;Sem serviço de internet;;Sem serviço de internet;Sem serviço de internet;Sem serviço de internet;Sem serviço de internet;2 Anos;Não;Cartão de Crédito (Automático);19.6;967.9;0.0;0.0;0
7018;Masculino;0.0;Sim;Sim;1.0;Sim;Não;;Não;Não;Não;Não;Não;Não;Mensal;Sim;Cheque por Carta;70.65;70.65;2.0;0.0;1
5458;Masculino;0.0;Não;Não;7.0;Sim;Não;DSL;Sim;Não;Não;Não;Não;Não;Mensal;;Cheque por Carta;51.0;354.05;0.0;0.0;1
2846;Feminino;0.0;Sim;Não;2.0;Sim;Não;DSL;Sim;Não;Não;Não;Não;Sim;Mensal;Sim;Cheque por Carta;62.15;113.1;0.0;0.0;0
2143;Masculino;1.0;Sim;Não;30.0;Sim;Sim;DSL;Não;Não;Sim;Não;Sim;Sim;2 Anos;Não;Cheque Eletrônico;74.85;2181.75;0.0;0.0;0
3182;Feminino;0.0;Sim;Não;45.0;Sim;Não;Fibra óptica;Não;Não;Não;Sim;Sim;Sim;2 Anos;Sim;Cartão de Crédito (Automático);95.2;4285.8;0.0;0.0;0
6823;Feminino;0.0;Não;Não;4.0;Sim;Não;;Sim;Não;Não;Não;Não;Não;;Sim;Transferência Bancária (Automática);50.55;235.65;;0.0;0
179;Masculino;0.0;Sim;Não;61.0;Sim;Não;Não;Sem serviço de internet;Sem serviço de internet;Sem serviço de internet;Sem serviço de internet;Sem serviço de internet;Sem serviço de internet;1 Ano;Sim;Cartão de Crédito (Automático);20.55;1252;0.0;0.0;0
2054;Feminino;0.0;Não;Não;2.0;Sim;Sim;DSL;Não;Não;Não;Não;Não;Não;Mensal;Sim;Cheque Eletrônico;49.4;106.55;0.0;0.0;1
1835;Feminino;0.0;;Não;1.0;Sim;Não;DSL;Não;Não;;Não;Não;Não;Mensal;Sim;Cheque Eletrônico;45.0;45;0.0;0.0;0
2738;Feminino;0.0;Sim;Sim;43.0;Sim;Não;DSL;Sim;Não;Sim;Não;Sim;Sim;2 Anos;Não;Transferência Bancária (Automática);75.2;3254.35;0.0;0.0;0
3854;;0.0;Sim;Não;;Sim;Sim;Fibra óptica;Sim;Sim;Não;Sim;Sim;Sim;Mensal;Sim;Transferência Bancária (Automática);109.65;5405.8;0.0;0.0;0
1306;Feminino;0.0;Não;Não;70.0;Sim;Sim;Fibra óptica;Sim;Sim;Sim;Sim;Sim;Sim;1 Ano;Não;Cartão de Crédito (Automático);115.55;8127.6;0.0;6.0;1
855;Feminino;0.0;Não;Sim;62.0;Sim;Sim;Fibra óptica;Não;Não;Sim;Não;;Sim;1 Ano;Sim;Cheque Eletrônico;100.15;6413.65;0.0;5.0;
4005;Masculino;0.0;Não;Não;1.0;Sim;Sim;Não;Sem serviço de internet;Sem serviço de internet;Sem serviço de internet;Sem serviço de internet;Sem serviço de internet;Sem serviço de internet;Mensal;Sim;Cheque por Carta;24.05;24.05;0.0;0.0;
726;Feminino;0.0;Não;Não;22.0;Sim;Sim;Não;Sem serviço de internet;Sem serviço de internet;Sem serviço de internet;Sem serviço de internet;Sem serviço de internet;Sem serviço de internet;2 Anos;Não;Cheque por Carta;26.25;605.9;0.0;0.0;0
4234;Feminino;0.0;;Não;16.0;Sim;Não;Não;Sem serviço de internet;Sem serviço de internet;Sem serviço de internet;Sem serviço de internet;Sem serviço de internet;Sem serviço de internet;1 Ano;Não;Cheque por Carta;19.05;326.65;0.0;0.0;0
5296;Feminino;0.0;Não;Não;57.0;Não;Sem serviço de telefone;DSL;Sim;Não;Sim;Sim;Não;Não;1 Ano;Sim;Cartão de Crédito (Automático);41.1;2258.25;0.0;0.0;0
4160;Masculino;0.0;Não;Não;26.0;Sim;Não;DSL;Sim;Não;Não;Sim;Sim;Sim;1 Ano;Não;Transferência Bancária (Automática);;1908.35;0.0;0.0;0
4144;Masculino;0.0;Não;Não;21.0;Sim;Sim;;Sim;Não;Sim;Não;Sim;Sim;Mensal;Não;Cheque por Carta;103.85;2215;0.0;0.0;0
5835;Feminino;0.0;Sim;Sim;30.0;Sim;Não;Não;Sem serviço de internet;Sem serviço de internet;Sem serviço de internet;Sem serviço de internet;Sem serviço de internet;Sem serviço de internet;2 Anos;Não;Cheque por Carta;19.3;602.9;0.0;0.0;
1005;Feminino;1.0;;Não;53.0;Sim;Sim;Fibra óptica;Não;Não;Não;Não;Sim;Sim;1 Ano;Sim;Cartão de Crédito (Automático);95.85;5016.25;0.0;0.0;0
5773;Feminino;0.0;Não;Não;35.0;Sim;Não;DSL;Sim;Sim;Sim;Não;Não;Não;Mensal;Não;Cheque Eletrônico;60.55;1982.6;;0.0;
6539;Feminino;0.0;Sim;Não;26.0;Sim;Não;DSL;Não;;Não;Sim;;Sim;Mensal;Sim;Cheque Eletrônico;73.05;1959.5;0.0;0.0;0
5021;Feminino;0.0;Sim;Sim;23.0;Sim;Sim;Fibra óptica;Sim;Não;Não;Não;Não;Não;1 Ano;Não;Cartão de Crédito (Automático);81.85;1810.85;0.0;0.0;0
201;Feminino;0.0;Não;Não;14.0;Sim;Não;Fibra óptica;Não;Sim;Não;Sim;Não;Não;Mensal;Sim;Cartão de Crédito (Automático);80.05;1112.3;0.0;0.0;0
852;Masculino;0.0;Não;Não;2.0;Sim;Sim;Não;Sem serviço de internet;;Sem serviço de internet;Sem serviço de internet;Sem serviço de internet;;Mensal;Não;Cheque por Carta;24.85;62;5.0;0.0;0
6082;Feminino;0.0;Sim;Não;59.0;Sim;Sim;Fibra óptica;Não;Sim;Não;Não;Sim;Sim;Mensal;Não;Cheque Eletrônico;40.0;6039.9;0.0;5.0;1
4754;Masculino;0.0;Sim;Não;68.0;Sim;Sim;Não;Sem serviço de internet;Sem serviço de internet;Sem serviço de internet;Sem serviço de internet;Sem serviço de internet;Sem serviço de internet;2 Anos;Não;Transferência Bancária (Automática);25.25;1728.2;1.0;0.0;
5410;Feminino;0.0;Sim;Não;64.0;Sim;Não;Fibra óptica;Sim;Não;Sim;Não;Sim;Sim;2 Anos;Sim;Transferência Bancária (Automática);99.0;6375.8;0.0;0.0;0
193;Feminino;0.0;Sim;Sim;72.0;Sim;Sim;Fibra óptica;Sim;Sim;Sim;Não;Sim;Sim;2 Anos;Não;Cartão de Crédito (Automático);109.7;8129.3;0.0;0.0;0
6530;Masculino;1.0;Sim;Não;63.0;Não;Sem serviço de telefone;DSL;Sim;Não;Não;Sim;Não;Não;1 Ano;Não;Transferência Bancária (Automática);-2.0;2298.9;0.0;0.0;0
2136;Masculino;0.0;Não;Sim;15.0;Sim;Sim;Fibra óptica;Não;Sim;Não;Não;Sim;Não;Mensal;;Cheque Eletrônico;91.0;1430.05;0.0;0.0;0
3469;Feminino;1.0;Não;Não;39.0;Sim;Não;Fibra óptica;Não;Não;Não;Não;Sim;Sim;Mensal;Sim;Cheque Eletrônico;91.5;1400.3;0.0;0.0;0
6575;Feminino;0.0;Não;Não;22.0;Sim;Sim;;Sim;Não;Não;Sim;Não;Não;Mensal;;Cheque por Carta;59.05;1253.5;3.0;0.0;0
2517;Masculino;1.0;Não;Não;1.0;Sim;Não;Fibra óptica;Não;Não;Não;Não;Não;Não;Mensal;Sim;Transferência Bancária (Automática);69.5;;0.0;0.0;1
2316;Masculino;0.0;Não;;4.0;Sim;;Não;Sem serviço de internet;Sem serviço de internet;Sem serviço de internet;Sem serviço de internet;Sem serviço de internet;Sem serviço de internet;Mensal;Não;Cheque por Carta;20.7;73.05;0.0;;0
1395;Masculino;0.0;Sim;Não;41.0;Sim;Sim;DSL;;Não;Sim;Não;Sim;Sim;1 Ano;Sim;Cheque Eletrônico;73.0;3001.2;;4.0;1
5740;;0.0;Sim;Sim;69.0;Não;Sem serviço de telefone;DSL;Sim;Não;;Sim;Não;Não;2 Anos;Não;Cheque por Carta;39.1;2779.5;0.0;0.0;0
5386;Masculino;0.0;Não;Não;10.0;Sim;Não;DSL;Não;Não;Não;Não;Não;Não;Mensal;Sim;Cartão de Crédito (Automático);45.8;436.2;0.0;0.0;0
6827;Masculino;0.0;Sim;Sim;60.0;Sim;Não;DSL;Sim;Sim;Não;Sim;Sim;Sim;Mensal;Sim;Cartão de Crédito (Automático);;4663.4;0.0;0.0;0
2764;Masculino;0.0;Sim;Sim;30.0;Sim;Sim;DSL;Sim;Sim;Sim;Sim;Não;Não;Mensal;Não;Cheque Eletrônico;67.6;2000.2;2.0;0.0;0
5670;Feminino;0.0;Sim;Sim;17.0;Sim;Sim;Não;Sem serviço de internet;;Sem serviço de internet;Sem serviço de internet;Sem serviço de internet;Sem serviço de internet;Mensal;Não;Cheque por Carta;24.1;409.9;0.0;0.0;1
2039;Masculino;0.0;Não;Não;22.0;Sim;Sim;Fibra óptica;Não;Sim;Não;Não;Não;Não;Mensal;Sim;Cheque Eletrônico;79.35;1730.35;0.0;1.0;1
821;Masculino;0.0;Sim;Sim;43.0;Sim;Não;DSL;Sim;Não;Sim;Sim;Sim;Sim;2 Anos;Sim;Cartão de Crédito (Automático);79.15;3566.6;0.0;0.0;0
2510;Masculino;0.0;Não;Não;1.0;Sim;Sim;Fibra óptica;Não;Não;;Não;Não;Não;Mensal;Sim;Cheque por Carta;74.25;74.25;0.0;0.0;
3575;Masculino;0.0;Não;Não;59.0;Não;Sem serviço de telefone;DSL;Não;Não;Não;Sim;Sim;Sim;Mensal;Sim;Cheque Eletrônico;51.7;3005.8;0.0;0.0;0
1857;Feminino;0.0;Sim;Não;65.0;Sim;Não;DSL;Sim;Não;Sim;Sim;Não;Não;2 Anos;Não;Cartão de Crédito (Automático);58.9;3857.1;;0.0;0
1312;Masculino;0.0;Não;Não;48.0;Sim;Sim;DSL;Sim;Não;Não;Sim;Não;Sim;1 Ano;Sim;Transferência Bancária (Automática);70.95;3629.2;0.0;0.0;0
5344;Masculino;0.0;Não;Sim;71.0;Sim;Não;DSL;Sim;Sim;Sim;Sim;Sim;Não;2 Anos;Sim;Cartão de Crédito (Automático);76.9;5522.7;3.0;0.0;0
2628;Feminino;0.0;Não;Não;1.0;Sim;Não;Fibra óptica;Sim;Sim;Não;Sim;Não;Não;Mensal;Sim;Cheque por Carta;83.4;83.4;0.0;0.0;0
1246;Feminino;0.0;Sim;Sim;45.0;Sim;;Fibra óptica;Sim;Sim;Não;Não;Sim;Sim;Mensal;Sim;Cheque Eletrônico;105.15;4730.9;1.0;0.0;0
6348;Feminino;0.0;Não;Não;26.0;Sim;Não;Fibra óptica;Não;Não;;Não;Não;Não;Mensal;Sim;Cartão de Crédito (Automático);69.05;1815.65;2.0;0.0;0
2580;Feminino;1.0;Não;;30.0;Sim;Sim;Fibra óptica;Não;Não;Não;Sim;Sim;Sim;Mensal;;Cheque Eletrônico;38.0;2974.5;0.0;0.0;0
6158;Masculino;0.0;Não;Não;2.0;Sim;Não;Não;Sem serviço de internet;Sem serviço de internet;Sem serviço de internet;;Sem serviço de internet;Sem serviço de internet;Mensal;Sim;Cheque Eletrônico;19.65;31.2;0.0;0.0;0
370;Masculino;0.0;;Sim;12.0;Sim;Não;Não;Sem serviço de internet;Sem serviço de internet;Sem serviço de internet;Sem serviço de internet;Sem serviço de internet;;1 Ano;Não;Cheque por Carta;20.6;690.25;0.0;0.0;0
5965;Masculino;0.0;Sim;Sim;36.0;Sim;Não;DSL;Sim;Não;Sim;Não;Não;Sim;;Sim;Cartão de Crédito (Automático);63.7;2188.5;;0.0;0
2905;Feminino;0.0;Sim;Não;21.0;Sim;Não;Fibra óptica;Não;Não;Sim;Sim;Não;Não;1 Ano;Não;Cheque Eletrônico;79.2;1742.45;0.0;1.0;0
1258;Feminino;0.0;Não;Não;47.0;Sim;;Não;Sem serviço de internet;Sem serviço de internet;Sem serviço de internet;Sem serviço de internet;Sem serviço de internet;Sem serviço de internet;2 Anos;Não;Cheque por Carta;20.15;1046.2;;0.0;0
6833;Feminino;1.0;;Não;18.0;Sim;Sim;Fibra óptica;Não;Sim;Não;Sim;Sim;Sim;Mensal;Sim;Cartão de Crédito (Automático);103.6;1806.35;0.0;0.0;0
6858;Feminino;0.0;Sim;Sim;25.0;Sim;Sim;Fibra óptica;Não;Não;Sim;Não;Não;Sim;Mensal;Sim;Cheque Eletrônico;89.1;2368.4;0.0;2.0;
2101;Feminino;0.0;Sim;Não;37.0;Sim;Sim;Fibra óptica;;Não;Sim;Sim;Não;;1 Ano;Sim;Cheque Eletrônico;99.2;;0.0;4.0;1
5712;;0.0;Não;Não;7.0;Sim;Não;Não;Sem serviço de internet;Sem serviço de internet;Sem serviço de internet;Sem serviço de internet;Sem serviço de internet;Sem serviço de internet;Mensal;Sim;Transferência Bancária (Automática);20.3;470.6;0.0;2.0;0
2310;Masculino;0.0;Não;Não;72.0;Não;Sem serviço de telefone;DSL;Sim;Sim;Sim;Sim;Sim;Sim;2 Anos;Sim;Transferência Bancária (Automática);63.7;4464.8;2.0;0.0;0
3680;Masculino;0.0;Sim;;9.0;Não;Sem serviço de telefone;DSL;Não;Não;Não;Sim;;Não;;Não;Cheque por Carta;;328.95;0.0;0.0;1
1522;Feminino;0.0;Não;Não;-82.0;Sim;Não;DSL;Sim;Sim;Sim;Não;Não;Sim;Mensal;Sim;;147.0;1970.5;0.0;3.0;1
2292;Feminino;0.0;Sim;Sim;54.0;Sim;Sim;DSL;Sim;Sim;Sim;Sim;Sim;Sim;2 Anos;Não;Cartão de Crédito (Automático);91.3;4965;0.0;0.0;0
3501;Feminino;0.0;Sim;Sim;59.0;Sim;;DSL;Sim;Não;Sim;Sim;Sim;Não;2 Anos;Sim;Cheque por Carta;76.45;4519.5;0.0;0.0;
673;Masculino;0.0;Não;Não;22.0;Sim;Sim;Não;Sem serviço de internet;Sem serviço de internet;Sem serviço de internet;Sem serviço de internet;Sem serviço de internet;Sem serviço de internet;Mensal;Sim;Cartão de Crédito (Automático);24.85;493.4;0.0;0.0;0
1140;Feminino;0.0;Não;Sim;13.0;Sim;Sim;DSL;Sim;Sim;;Sim;Sim;Sim;2 Anos;Não;Cartão de Crédito (Automático);88.95;1161.75;0.0;0.0;0
6982;Feminino;0.0;Sim;Sim;72.0;Sim;Não;DSL;Sim;Sim;Sim;Sim;Não;Sim;2 Anos;Sim;Cheque Eletrônico;74.35;5237.4;0.0;7.0;0
